"imaging_files","direct_files","path"
"150","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Anjelica\Andres calcium\Swimming"
"150","0","L:\10_AGVG LAB\Confocal E drive backup\Jessica\220607JA\E isoform\Worm3"
"150","0","L:\10_AGVG LAB\Confocal E drive backup\Jessica\220607JA\E isoform\Worm2"
"149","0","L:\02_Duchenne Muscular Dystrophy\Mackenzie\14) RGB Sequences\08.01.25\AVG77 DAY 1 CRAWL 2 - done"
"148","4","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\AndresDys1-8-26-14\AndresDys1-9-4-14\JPS 570 plate"
"148","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\AndresDys1-8-26-14\AndresDys1-9-4-14"
"147","0","L:\10_AGVG LAB\Confocal E drive backup\Jessica\220607JA\E isoform\Worm10"
"147","0","L:\10_AGVG LAB\Confocal E drive backup\Jessica\220607JA\E isoform\Worm6"
"145","0","L:\02_Duchenne Muscular Dystrophy\Adina\Inverted scope\221028 Pdys 1 BFG"
"144","0","L:\02_Duchenne Muscular Dystrophy\Adina\AVG60 crawl burrow swim\Tissue dissociation\240126_AVG60_crawl_tissue dissociation\muscle 21"
"144","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\older confocal not in paper\081618_HKK22_antigfp"
"143","0","L:\03_Magnetic Transduction\Aalimah\mars data for parallel experiment\Mars vs Earth GFP\gen 4"
"143","0","L:\03_Magnetic Transduction\Aalimah\mars data for parallel experiment\Mars vs Earth GFP\GEN 6"
"141","0","L:\02_Duchenne Muscular Dystrophy\Adina\IBU\230425"
"141","0","L:\10_AGVG LAB\Confocal E drive backup\Jessica\220607JA\D-J isoforms\Worm1"
"141","0","L:\10_AGVG LAB\Confocal E drive backup\Jessica\220607JA\E isoform\Worm7"
"139","0","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\1_PMCA paper\RNAi Ion Transport Genes\mca-2\dataset 3"
"139","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\older confocal not in paper\11518_BZ33_IBD5"
"138","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\171101_HKK5_ISD1_100x"
"138","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\PNAS draft\All the 100X\171101_HKK5_ISD1_100x"
"138","0","L:\10_AGVG LAB\Confocal E drive backup\Jessica\220602JA\Worm8"
"137","0","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\1_PMCA paper\Danny L1 Brightness Chs1 RNAi"
"137","0","L:\02_Duchenne Muscular Dystrophy\Mackenzie\14) RGB Sequences\08.01.25\AVG77 DAY 1 CRAWL 6 - DONE -mj"
"136","0","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\2_mua-3 paper\fail datasets"
"136","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Eggs\old\Only pretzel"
"135","0","L:\02_Duchenne Muscular Dystrophy\Monica\Worm Tracker"
"134","0","L:\03_Magnetic Transduction\Raw Data\JEB behavior recordings\Behavioral Analysis Videos"
"134","0","L:\03_Magnetic Transduction\Raw Data\JEB behavior recordings"
"130","9","L:\02_Duchenne Muscular Dystrophy\Kiley\Raw data\Confocal\PNAS paper_100x health\171208_HKK22_CB3%D5"
"130","0","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\1_PMCA paper\RNAi_ AVG6\Ion Movement Genes"
"130","13","L:\05_Proprioception\AMsh_Figures"
"130","9","L:\02_Duchenne Muscular Dystrophy\Manuscripts\JPS518 paper\data PNAS\100x health\171208_HKK22_CB3%D5"
"129","0","L:\02_Duchenne Muscular Dystrophy\Mackenzie\14) RGB Sequences\06.27.25\L4440 DAY 5 CRAWL 5 - done"
"129","0","L:\02_Duchenne Muscular Dystrophy\Monica\Worm Tracker\Monica\Kinematics"
"129","0","L:\02_Duchenne Muscular Dystrophy\Monica\Worm Tracker\Monica"
