path,ext,size_bytes,mtime
\\SLB122E-01\Vidal-Gadea_lab\Adina\241226_AVG85_day5A_smooth muscles.lif,.lif,3555779825,2024-12-26
\\SLB122E-01\Vidal-Gadea_lab\Adina\241226_RWxDM.lif,.lif,1402027805,2025-02-09
\\SLB122E-01\Vidal-Gadea_lab\Adina\241227_AVG63_day5A_smooth_muscles.lif,.lif,2742286967,2024-12-27
\\SLB122E-01\Vidal-Gadea_lab\Adina\241227_RWxDM_actin_myosin_branching.lif,.lif,3770642903,2025-01-28
\\SLB122E-01\Vidal-Gadea_lab\Adina\241227_RWxDM_myo-3_actin_branching_good.lif,.lif,2570650135,2024-12-27
\\SLB122E-01\Vidal-Gadea_lab\Adina\AVG60_RNAi_dys-1\230222_AVG60_dys-1_a-g_RNAi.lif,.lif,5906840895,2023-02-22
\\SLB122E-01\Vidal-Gadea_lab\Adina\AVG60_RNAi_dys-1\230222_AVG60_dys-1_RNAi.lif,.lif,1979333307,2023-02-22
\\SLB122E-01\Vidal-Gadea_lab\Adina\AVG60_RNAi_dys-1\230222_AVG60_L4440_RNAi.lif,.lif,2870172539,2023-02-22
\\SLB122E-01\Vidal-Gadea_lab\Adina\AVG60_RNAi_dys-1\230223_AVG60_dys-1_a-g_RNAi.lif,.lif,324178805,2023-02-23
\\SLB122E-01\Vidal-Gadea_lab\Adina\AVG60_RNAi_dys-1\230223_AVG60_dys-1_RNAi.lif,.lif,5921739197,2023-02-23
\\SLB122E-01\Vidal-Gadea_lab\Adina\AVG60_RNAi_dys-1\230223_AVG60_L4440_RNAi.lif,.lif,1804743181,2023-02-23
\\SLB122E-01\Vidal-Gadea_lab\Adina\AVG60_RNAi_dys-1\230224_AVG60_L4440_RNAi_uterus.lif,.lif,951992983,2023-02-24
\\SLB122E-01\Vidal-Gadea_lab\Adina\AVG60_RNAi_dys-1\230525_AVG60_RNAi_dys-1.lif,.lif,5597169459,2023-05-25
\\SLB122E-01\Vidal-Gadea_lab\Adina\AVG60_RNAi_dys-1\230525_AVG60_RNAi_L4440.lif,.lif,2904773875,2023-05-25
\\SLB122E-01\Vidal-Gadea_lab\Adina\AVG60_RNAi_Unc-62\240208_AVG60_L4440 and Unc-62_egg retention.lif,.lif,117746529,2024-02-08
\\SLB122E-01\Vidal-Gadea_lab\Adina\AVG60_RNAi_Unc-62\240209_AVG60_vulva_Unc-62.lif,.lif,2096223829,2024-02-09
\\SLB122E-01\Vidal-Gadea_lab\Adina\AVG60_RNAi_Unc-62\240212_AVG60_L4440.lif,.lif,3696898007,2024-02-12
\\SLB122E-01\Vidal-Gadea_lab\Adina\AVG60_RNAi_Unc-62\240212_AVG60_Unc-62_midbody muscles.lif,.lif,3454225659,2024-02-12
\\SLB122E-01\Vidal-Gadea_lab\Adina\AVG60_RNAi_Unc-62\240213_AVG60_L4440.lif,.lif,1416295605,2024-02-13
\\SLB122E-01\Vidal-Gadea_lab\Adina\AVG60_RNAi_Unc-62\240213_AVG60_Unc-62.lif,.lif,1139836011,2024-02-13
\\SLB122E-01\Vidal-Gadea_lab\Adina\AVG60_tissue dissociation\240126_AVG60_tissue dissociation.lif,.lif,1822357826,2024-02-05
\\SLB122E-01\Vidal-Gadea_lab\Adina\AVG60_tissue dissociation\240131_AVG60_tissue dissociation.lif,.lif,109069035,2024-01-31
\\SLB122E-01\Vidal-Gadea_lab\Adina\AVG60_tissue dissociation\240205_AVG60_dissociation_many images.lif,.lif,6065455749,2024-02-06
\\SLB122E-01\Vidal-Gadea_lab\Adina\AVG60_tissue dissociation\240207_AVG60_dissociation.lif,.lif,4261267861,2024-02-07
\\SLB122E-01\Vidal-Gadea_lab\Adina\AVG78_op50_SN\240810_AF_ACG78_dys-1_w11.lif,.lif,29399429,2024-10-23
\\SLB122E-01\Vidal-Gadea_lab\Adina\AVG78_op50_SN\240810_AF_ACG78_dys-1_w12.lif,.lif,19822325,2024-10-23
\\SLB122E-01\Vidal-Gadea_lab\Adina\AVG78_op50_SN\240810_AF_ACG78_dys-1_w13.lif,.lif,24196865,2024-10-23
\\SLB122E-01\Vidal-Gadea_lab\Adina\AVG78_op50_SN\240810_AF_ACG78_dys-1_w14.lif,.lif,22034187,2024-10-23
\\SLB122E-01\Vidal-Gadea_lab\Adina\AVG78_op50_SN\240810_AF_ACG78_dys-1_w15.lif,.lif,29970455,2024-10-23
\\SLB122E-01\Vidal-Gadea_lab\Adina\AVG78_op50_SN\240810_AF_ACG78_L4440_12.lif,.lif,29521731,2024-10-23
\\SLB122E-01\Vidal-Gadea_lab\Adina\AVG78_op50_SN\240810_AF_ACG78_L4440_w1.lif,.lif,17604401,2024-10-11
\\SLB122E-01\Vidal-Gadea_lab\Adina\AVG78_op50_SN\240810_AF_ACG78_L4440_w10.lif,.lif,22075391,2024-10-15
\\SLB122E-01\Vidal-Gadea_lab\Adina\AVG78_op50_SN\240810_AF_ACG78_L4440_w11_vulva up_confused.lif,.lif,30818321,2024-10-23
\\SLB122E-01\Vidal-Gadea_lab\Adina\AVG78_op50_SN\240810_AF_ACG78_L4440_w13.lif,.lif,28723043,2024-10-23
\\SLB122E-01\Vidal-Gadea_lab\Adina\AVG78_op50_SN\240810_AF_ACG78_L4440_w14.lif,.lif,36198653,2024-10-23
\\SLB122E-01\Vidal-Gadea_lab\Adina\AVG78_op50_SN\240810_AF_ACG78_L4440_w15.lif,.lif,23398171,2024-10-23
\\SLB122E-01\Vidal-Gadea_lab\Adina\AVG78_op50_SN\240810_AF_ACG78_L4440_w2.lif,.lif,18059015,2024-10-11
\\SLB122E-01\Vidal-Gadea_lab\Adina\AVG78_op50_SN\240810_AF_ACG78_L4440_w3.lif,.lif,21124907,2024-10-11
\\SLB122E-01\Vidal-Gadea_lab\Adina\AVG78_op50_SN\240810_AF_ACG78_L4440_w4.lif,.lif,20621071,2024-10-11
\\SLB122E-01\Vidal-Gadea_lab\Adina\AVG78_op50_SN\240810_AF_ACG78_L4440_w5.lif,.lif,20104841,2024-10-11
\\SLB122E-01\Vidal-Gadea_lab\Adina\AVG78_op50_SN\240810_AF_ACG78_L4440_w6.lif,.lif,10417673,2024-10-11
\\SLB122E-01\Vidal-Gadea_lab\Adina\AVG78_op50_SN\240810_AF_ACG78_L4440_w7.lif,.lif,20848309,2024-10-15
\\SLB122E-01\Vidal-Gadea_lab\Adina\AVG78_op50_SN\240810_AF_ACG78_L4440_w8.lif,.lif,26615705,2024-10-15
\\SLB122E-01\Vidal-Gadea_lab\Adina\AVG78_op50_SN\240810_AF_ACG78_L4440_w9.lif,.lif,25706505,2024-10-15
\\SLB122E-01\Vidal-Gadea_lab\Adina\AVG78_op50_SN\240810_AF_ACG78_op50_w3.lif,.lif,13477527,2024-10-08
